image_id,label,fertilizer
200030.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200031.jpg,hispa,Balanced npk fertilizer[30-10-10]
200032.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200033.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200034.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200035.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200036.jpg,hispa,Balanced npk fertilizer[30-10-10]
200037.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200038.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200039.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200040.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200041.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200042.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200043.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200044.jpg,hispa,Balanced npk fertilizer[30-10-10]
200045.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200046.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200047.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200048.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200049.jpg,bacterial_panicle_blight,
200050.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200051.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200052.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200053.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200054.jpg,normal,
200055.jpg,hispa,Balanced npk fertilizer[30-10-10]
200056.jpg,hispa,Balanced npk fertilizer[30-10-10]
200057.jpg,hispa,Balanced npk fertilizer[30-10-10]
200058.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200059.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200060.jpg,hispa,Balanced npk fertilizer[30-10-10]
200061.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200062.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200063.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200064.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200065.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200066.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200067.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200068.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200069.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200070.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200071.jpg,normal,
200072.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200073.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200074.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200075.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200076.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200077.jpg,hispa,Balanced npk fertilizer[30-10-10]
200078.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200079.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200080.jpg,bacterial_panicle_blight,NPK 13-26-21 + Calcium (Ca) (Optional)
200081.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200082.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200083.jpg,bacterial_panicle_blight,NPK 13-26-21 + Calcium (Ca) (Optional)
200084.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200085.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200086.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200087.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200088.jpg,normal,
200089.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200090.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200091.jpg,hispa,Balanced npk fertilizer[30-10-10]
200092.jpg,hispa,Balanced npk fertilizer[30-10-10]
200093.jpg,hispa,Balanced npk fertilizer[30-10-10]
200094.jpg,normal,
200095.jpg,hispa,Balanced npk fertilizer[30-10-10]
200096.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200097.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200098.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200099.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200100.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200101.jpg,hispa,Balanced npk fertilizer[30-10-10]
200102.jpg,hispa,Balanced npk fertilizer[30-10-10]
200103.jpg,hispa,Balanced npk fertilizer[30-10-10]
200104.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200105.jpg,normal,
200106.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200107.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200108.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200109.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200110.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200111.jpg,hispa,Balanced npk fertilizer[30-10-10]
200112.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200113.jpg,normal,
200114.jpg,hispa,Balanced npk fertilizer[30-10-10]
200115.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200116.jpg,hispa,Balanced npk fertilizer[30-10-10]
200117.jpg,normal,
200118.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200119.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200120.jpg,normal,
200121.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200122.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200123.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200124.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200125.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200126.jpg,hispa,Balanced npk fertilizer[30-10-10]
200127.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200128.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200129.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200130.jpg,bacterial_panicle_blight,NPK 13-26-21 + Calcium (Ca) (Optional)
200131.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200132.jpg,hispa,Balanced npk fertilizer[30-10-10]
200133.jpg,hispa,Balanced npk fertilizer[30-10-10]
200134.jpg,normal,
200135.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200136.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200137.jpg,normal,
200138.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200139.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200140.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200141.jpg,bacterial_panicle_blight,NPK 13-26-21 + Calcium (Ca) (Optional)
200142.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200143.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200144.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200145.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200146.jpg,normal,
200147.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200148.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200149.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200150.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200151.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200152.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200153.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200154.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200155.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200156.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200157.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200158.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200159.jpg,normal,
200160.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200161.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200162.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200163.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200164.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200165.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200166.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200167.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200168.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200169.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200170.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200171.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200172.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200173.jpg,normal,
200174.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200175.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200176.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200177.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200178.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200179.jpg,normal,
200180.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200181.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200182.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200183.jpg,normal,
200184.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200185.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200186.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200187.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200188.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200189.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200190.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200191.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200192.jpg,normal,
200193.jpg,normal,
200194.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200195.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200196.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200197.jpg,normal,
200198.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200199.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200200.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200201.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200202.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200203.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200204.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200205.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200206.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200207.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200208.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200209.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200210.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200211.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200212.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200213.jpg,normal,
200214.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200215.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200216.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200217.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200218.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200219.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200220.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200221.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200222.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200223.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200224.jpg,normal,
200225.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200226.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200227.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200228.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200229.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200230.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200231.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200232.jpg,normal,
200233.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200234.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200235.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200236.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200237.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200238.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200239.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200240.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200241.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200242.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200243.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200244.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200245.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200246.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200247.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200248.jpg,normal,
200249.jpg,bacterial_panicle_blight,NPK 13-26-21 + Calcium (Ca) (Optional)
200250.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200251.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200252.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200253.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200254.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200255.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200256.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200257.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200258.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200259.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200260.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200261.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200262.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200263.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200264.jpg,normal,
200265.jpg,normal,
200266.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200267.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200268.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200269.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200270.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200271.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200272.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200273.jpg,normal,
200274.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200275.jpg,normal,
200276.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200277.jpg,normal,
200278.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200279.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200280.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200281.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200282.jpg,normal,
200283.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200284.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200285.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200286.jpg,normal,
200287.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
200288.jpg,normal,
200289.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200290.jpg,normal,
200291.jpg,brown_spot,Zinc Sulfate (ZnSO₄) - 21% or 33% Zn
200292.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200293.jpg,normal,
200294.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200295.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200296.jpg,normal,
200297.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200298.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200299.jpg,normal,
200300.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200301.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200302.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200303.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200304.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200305.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200306.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200307.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200308.jpg,normal,
200309.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200310.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200311.jpg,normal,
200312.jpg,normal,
200313.jpg,normal,
200314.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200315.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200316.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200317.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200318.jpg,dead_heart,Nitrogen-Phosphorus-Potassium (NPK 20-20-20) + Zinc Sulfate (ZnSO₄)
200319.jpg,normal,
200320.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200321.jpg,hispa,NPK 17-17-17 + Zinc Sulfate (ZnSO₄) (Optional)
200322.jpg,downy_mildew,NPK 10-30-20 + Calcium (Ca) + Zinc (Zn) (Optional)
200323.jpg,bacterial_leaf_blight,NPK 12-32-16 + Zinc Sulfate (ZnSO₄) (Optional)
200324.jpg,normal,
200325.jpg,tungro,NPK 12-24-12 + Zinc Sulfate (ZnSO₄) (Optional)
200326.jpg,blast,NPK 10-26-26 (High Phosphorus & Potassium) + Silicon (Optional)
200327.jpg,bacterial_leaf_streak,NPK 10-26-26 + Zinc Sulfate (ZnSO₄) (Optional)
